,,,,,,,was right?,,,,,,,,,error type,,,,,,,,,,,,,,,
,,,,,nPntsOrg,,nPnts,approx right place,approx right,very right,,rightPlace,rightType,rightOrder,,arc inacc,Min-sad in 3img confised,3instead5,arc not expanded,2sad exchanged (180),2*(sad inst min) wrong (90),missed faint img,3 (min-sad-min) instead 1 min,missed double pnt,too many imgs,,,all,toBeUsed,Fav capella05,Fav Budgieye
ASW0003ctp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6904,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,x,,,,,,,,,,,,1,1,,1
,6905,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6906,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,1,
,6907,4,Capella05,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6908,4,Capella05,,4,,x,1,1,0,,1    ,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6909,4,ElisabethB,,4,,x,1,1,0,,1    ,1    ,1    ,,x,,,,,,,,,,,,1,1,,
ASW0002b6m,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6910,2,Jonas,,4,,o,0,0,0,, 3/5, 3/5,0    ,,,,x,,,,x,,x,,,,1,1,1,1
,6911,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,,,,,,,,,x,,,,1,1,,
,6912,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,,,,,,,,,x,,,,1,1,,
ASW0001hpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6913,4,Jonas,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,x,,,,,,,,1,1,,
,6914,4,psaha,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6915,4,psaha,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6916,4,psaha,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6917,4,c_cld,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,6918,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW0002z6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6919,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,6920,4,Capella05,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6921,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6922,4,ElisabethB,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6923,4,ElisabethB,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6924,4,ElisabethB,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,x,,,,,,,,1,1,,
,6925,4,ElisabethB,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,,x,,,,,,,1,1,,1
,6926,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW00023pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6927,4,Jonas,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,1
,6928,4,Capella05,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6929,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6930,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,1,
ASW0000vqg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6931,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6932,2,psaha,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6933,2,psaha,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6934,2,ElisabethB,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,6935,4,Budgieye,,2,,o,1,0,0,,1 2/3,1 2/3,1    ,,,,,,,,,x,,,,,1,1,1,
,6936,4,Budgieye,,2,,o,1,0,0,,1 2/3,1 2/3,1    ,,,,,,,,,x,,,,,1,1,1,
,6937,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,6938,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW000102p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6939,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,6940,2,Capella05,,2,,x,1,0,0,,1    , 1/3,0    ,,,x,,,,,,,,,,,1,1,,
,6941,2,Capella05,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,1
,6942,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW0000w54,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6943,2,Jonas,,4,,o,0,0,0,, 3/5, 3/5,1    ,,,,x,x,,,,,,,,,1,1,1,1
,6944,2,Capella05,,4,,o,0,0,0,, 3/5, 3/5,1    ,,,,x,x,,,,,,,,,1,1,1,
,6945,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6946,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW00054e9,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6947,2,Jonas,,4,,o,0,0,0,, 3/5, 3/5,1    ,,,,x,x,,,,,,,,,1,1,1,
,6948,2,ElisabethB,,4,,o,0,0,0,, 3/5, 3/5,1    ,,,,x,x,,,,,,,,,1,1,,
,6949,4,Capella05,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,6950,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW0001d74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7016,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,7017,4,Capella05,,4,,x,1,1,1,,1    ,1    ,1    ,,x,,,,,,,,,,,,1,1,,1
,7018,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,1,
,7019,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW00013ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7004,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,7005,4,Capella05,,4,,x,0,0,0,, 4/5, 1/5,0    ,,x,,,,,x,,,,,,,1,1,1,
,7006,4,Capella05,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,7007,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW0000bsh,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6958,4,Jonas,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,1
,6959,4,Capella05,,4,,x,1,1,1,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,1,
,6960,4,Capella05,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6961,4,ElisabethB,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6962,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW0000r8n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6963,4,Jonas,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,1,
,6964,4,Jonas,,4,,x,1,1,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,1
,6965,4,Capella05,,4,,x,1,0,0,, 4/5, 1/5,0    ,,x,,,,,x,,,,,,,1,1,1,
,6966,4,ElisabethB,,4,,x,0,0,0,, 4/5, 3/5,0    ,,x,,,,,x,,,,,,,1,1,,
ASW00019rw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6967,4,Jonas,,4,,x,1,0,0,, 4/5, 3/5,0    ,,,,,,x,,,,,,,,1,1,1,1
,6968,4,Budgieye,,4,,x,1,0,0,, 4/5, 3/5,0    ,,,,,,x,,,,,,,,1,1,,
ASW0001a2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6969,4,Jonas,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6970,6,Budgieye,,4,,o,0,0,0,,1 2/5, 3/5,0    ,,,,,,,,,,,x,,,1,1,,1
,6971,4,Budgieye,,4,,x,1,0,1,,1    , 1/5,,,,,,,,x,,,,,,,1,1,1,
ASW000195x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6972,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,1
,6973,2,Capella05,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,6974,4,Capella05,,2,,o,1,1,0,,1 2/3,1 2/3,1    ,,,,,,,,,x,,,,,1,1,,
,6975,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW0000e28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6976,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,1
,6977,4,Budgieye,,2,,o,1,1,0,,1 2/3,1 2/3,1    ,,,,,,,,,x,,,,,1,1,,
ASW0001gae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6978,4,Jonas,,4,,x,,,,,,,,,,,,,,,,,,,,,1,1,,
,6979,4,Capella05,,4,,x,,,,,,,,,,,,,,,,,,,,,1,1,,
,6980,2,Budgieye,,4,,o,,,,,,,,,,,,,,,,,,,,,1,1,1,1
ASW0002jo0,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6981,4,Jonas,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6982,2,Capella05,,4,,o,1,0,0,,1    , 1/5,0    ,UI fail,,,,,,x,,,,,,,1,1,1,1
,6983,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6984,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW0004nfh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6985,4,Jonas,,4,,x,1,0,0,, 4/5,1    ,0    ,,x,,,,x,,,,,,,,1,1,,
,6986,4,ElisabethB,,4,,x,1,0,0,, 4/5, 1/5,0    ,,x,,,,,x,,,,,,,1,1,1,
,6987,4,ElisabethB,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,1
,6988,4,Budgieye,,4,,x,1,0,0,, 4/5, 1/5,0    ,,x,,,,,x,,,,,,,1,1,,
ASW00004k0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6989,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,1
ASW0004oux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6990,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,6991,4,Capella05,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6992,4,ElisabethB,,4,,x,1,0,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6993,4,ElisabethB,,4,,x,1,0,0,, 4/5,1    ,1    ,,x,,,,,,,,,,,,1,1,,
,6994,4,ElisabethB,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,6995,4,Budgieye,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
ASW0001sym,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6996,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,4
,6997,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6998,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW0001a8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6999,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,7000,4,Jonas,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,1,
,7001,4,Capella05,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,7002,4,Capella05,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,1
,7003,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
ASW00031ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6953,4,Jonas,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,x,,,,,,,,1,1,,
,6954,4,Capella05,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,6955,4,ElisabethB,,4,,x,0,0,0,, 4/5, 1/5,0    ,,x,,,,,x,,,,,,,1,1,,
,6956,4,ElisabethB,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,1
,6957,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,1,
ASW0000ar2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7008,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,7009,2,Budgieye,,2,,x,1,0,0,,1    , 1/3,0    ,,,x,,,,,,,,,,,1,1,,
ASW0001gve,????,,,,,can't say 180deg,,,,,,,,,,,,,,,,,,,,,,,,,
,7010,4,Jonas,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,7011,4,Capella05,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,7012,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,1
ASW0000kad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7013,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
,7014,4,ElisabethB,,2,,o,1,0,0,,1 2/3,1 2/3,1    ,,,,,,,,,x,,,,,1,1,,1
,7015,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
ASW0000bl0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6951,2,Jonas,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,1
,6952,2,Budgieye,,2,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,1,
ASW0000h2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7020,4,Jonas,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,7021,4,Capella05,,4,,x,1,0,0,,1    ,1    ,0    ,,,,,,x,,,,,,,,1,1,,
,7022,4,psaha,,4,,x,1,1,1,,1    ,1    ,1    ,,,,,,,,,,,,,,1,1,,
,7023,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,7024,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,,
,7025,4,Budgieye,,4,,x,1,0,0,,1    , 1/5,0    ,,,,,,,x,,,,,,,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
using all,,,N,,122,,109    ,110,61,48,,86    ,67    ,70    ,,22,2,5,4,7,38,1,5,3,1,,,,,,
,,,p,,,,0.89,0.90,0.50,0.39,,0.70,0.55,0.57,,0.18,0.02,0.04,0.03,0.06,0.31,0.01,0.04,0.02,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using finals,,,N,,122,,109    ,110,61,48,,86    ,67    ,70    ,,22,2,5,4,7,38,1,5,3,1,,,,,,
,,,p,,,,0.89,0.90,0.50,0.39,,0.70,0.55,0.57,,0.18,0.02,0.04,0.03,0.06,0.31,0.01,0.04,0.02,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using fav1,,,N,,36,,28    ,30,18,17,,22    ,18    ,23    ,,6,0,4,3,1,10,1,2,1,0,,,,,,
,,,p,,,,0.78,0.83,0.50,0.47,,0.61,0.50,0.64,,0.17,0.00,0.11,0.08,0.03,0.28,0.03,0.06,0.03,0.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using fav2,,,N,,33,,27    ,26,16,14,,25    ,20    ,21    ,,4,0,2,1,1,8,1,1,1,1,,,,,,
,,,p,,,,0.82,0.79,0.48,0.42,,0.76,0.61,0.64,,0.12,0.00,0.06,0.03,0.03,0.24,0.03,0.03,0.03,0.03,,,,,,
